FileName,Model Name,Test Id,Is_Valid,T0.0 (h),T0.25 (h),T0.5 (h),T0.75 (h),T1 (h),T1.25 (h),T1.5 (h),T1.75 (h),T2 (h),T2.25 (h),T2.5 (h),T2.75 (h),T3 (h),T3.25 (h),T3.5 (h),T3.75 (h),T4 (h),T4.25 (h),T4.5 (h),T4.75 (h),T5 (h),T5.25 (h),T5.5 (h),T5.75 (h),T6 (h),T6.25 (h),T6.5 (h),T6.75 (h),T7 (h),T7.25 (h),T7.5 (h),T7.75 (h),T8 (h),T8.25 (h),T8.5 (h),T8.75 (h),T9 (h),T9.25 (h),T9.5 (h),T9.75 (h),T10 (h),T10.25 (h),T10.5 (h),T10.75 (h),T11 (h),T11.25 (h),T11.5 (h),T11.75 (h),T12 (h),T12.25 (h),T12.5 (h),T12.75 (h),T13 (h),T13.25 (h),T13.5 (h),T13.75 (h),T14 (h),T14.25 (h),T14.5 (h),T14.75 (h)
growth.xlsx,LAB,10.2N 5 c KCl 25 mM (A01),TRUE,0.2166,0.2249,0.2299,0.2443,0.2529,0.2673,0.2783,0.2951,0.3117,0.3351,0.3593,0.3849,0.4121,0.442,0.4716,0.5021,0.5338,0.5654,0.5978,0.6294,0.661,0.6937,0.7251,0.7553,0.7861,0.817,0.8472,0.8795,0.91,0.9385,0.9678,0.9973,1.0262,1.054,1.0793,1.1058,1.1305,1.1529,1.1731,1.1905,1.2083,1.222,1.2325,1.2416,1.2476,1.2524,1.2571,1.26,1.2622,1.2637,1.2643,1.2659,1.2666,1.2673,1.2676,1.2674,1.2678,1.2676,1.2674,1.267
growth.xlsx,LAB,10.2N 5 d KCl 25 mM (A02),TRUE,0.262,0.2531,0.2604,0.2639,0.2815,0.295,0.3113,0.3285,0.3508,0.3733,0.4005,0.4277,0.4564,0.4894,0.5213,0.5533,0.5876,0.6198,0.6515,0.6846,0.7162,0.7477,0.7802,0.8119,0.8443,0.8759,0.9063,0.9377,0.9696,0.9989,1.0272,1.059,1.0834,1.1101,1.1365,1.1615,1.1866,1.1994,1.2223,1.2302,1.2419,1.2609,1.259,1.2687,1.2725,1.2756,1.2808,1.2751,1.2774,1.2851,1.277,1.2874,1.281,1.2878,1.2869,1.2864,1.2875,1.2859,1.2802,1.2804
growth.xlsx,LAB,10.1N 16 c KCl 25 mM (A03),TRUE,0.2658,0.2556,0.2569,0.2615,0.2833,0.2978,0.3162,0.3328,0.3545,0.3818,0.4084,0.4378,0.4675,0.4991,0.5314,0.5638,0.5976,0.6307,0.6639,0.6954,0.7286,0.7605,0.7924,0.8234,0.8545,0.8868,0.9185,0.9477,0.9769,1.0061,1.0339,1.0638,1.0902,1.1155,1.1415,1.1529,1.1713,1.2043,1.2206,1.2221,1.2272,1.2413,1.2422,1.251,1.2656,1.2565,1.2512,1.2524,1.2675,1.2705,1.2657,1.2723,1.2722,1.2698,1.2649,1.2618,1.2623,1.2621,1.2581,1.2582
growth.xlsx,LAB,10.1N 16 d KCl 25 mM (A04),TRUE,0.2849,0.3352,0.2924,0.3317,0.3648,0.3786,0.3852,0.3837,0.3967,0.4101,0.428,0.4595,0.4845,0.5147,0.5464,0.5806,0.6171,0.6754,0.7119,0.7492,0.7343,0.8236,0.7952,0.8264,0.8572,0.8886,0.9195,0.9515,0.979,1.0076,1.0344,1.0632,1.0911,1.1162,1.1459,1.1641,1.1835,1.2065,1.2141,1.2248,1.2337,1.24,1.2457,1.249,1.2523,1.2546,1.2567,1.2577,1.259,1.26,1.2605,1.2605,1.2613,1.2619,1.2617,1.2614,1.2614,1.2614,1.261,1.2604
growth.xlsx,LAB,10.1N 21 c KCl 25 mM (A05),TRUE,0.253,0.2725,0.2577,0.2666,0.2814,0.2954,0.3112,0.3297,0.3542,0.3804,0.4028,0.4304,0.4599,0.4893,0.5216,0.5542,0.5872,0.6192,0.6524,0.6833,0.7151,0.7456,0.7761,0.8073,0.8361,0.8656,0.8946,0.9254,0.9522,0.9784,1.0082,1.0308,1.0567,1.0911,1.1168,1.1411,1.1603,1.1774,1.1922,1.2085,1.2042,1.2292,1.2232,1.2276,1.2484,1.2392,1.2435,1.2472,1.2445,1.2599,1.2523,1.2609,1.261,1.2583,1.2585,1.2566,1.256,1.2544,1.2536,1.2528
growth.xlsx,LAB,10.1N 21 d KCl 25 mM (A06),TRUE,0.2603,0.2631,0.2617,0.2696,0.279,0.2938,0.3097,0.3308,0.3546,0.38,0.4077,0.4341,0.4665,0.4952,0.5296,0.5624,0.5972,0.6304,0.6639,0.6964,0.7295,0.7615,0.7928,0.8225,0.8521,0.8828,0.9136,0.947,0.9794,1.013,1.0422,1.0808,1.1058,1.1342,1.158,1.1798,1.198,1.2061,1.2315,1.2419,1.2503,1.2467,1.2542,1.2587,1.2651,1.274,1.279,1.2804,1.2797,1.2758,1.2725,1.2818,1.2769,1.2809,1.2811,1.276,1.2819,1.2819,1.2819,1.282
growth.xlsx,LAB,E1-1 a KCl 25 mM (A07),TRUE,0.2751,0.2747,0.275,0.2838,0.2985,0.3114,0.3293,0.3475,0.3683,0.3957,0.4161,0.4423,0.4704,0.5006,0.5289,0.5591,0.5892,0.6176,0.6474,0.6755,0.7059,0.7334,0.7613,0.7908,0.8182,0.8465,0.8757,0.9054,0.9371,0.9647,0.9966,1.0228,1.0418,1.0738,1.0979,1.1163,1.1396,1.1569,1.1773,1.2001,1.2063,1.2251,1.2371,1.2372,1.2523,1.2503,1.261,1.2637,1.2656,1.2665,1.2633,1.2591,1.2596,1.2595,1.2598,1.2606,1.2603,1.2596,1.2589,1.2591
growth.xlsx,LAB,E1-1 a KCl 25 mM (A08),TRUE,0.272,0.2881,0.2708,0.2836,0.2936,0.308,0.3225,0.3436,0.3652,0.3911,0.4114,0.4374,0.4641,0.4931,0.5223,0.552,0.5811,0.6105,0.6383,0.6684,0.6974,0.7244,0.7537,0.7822,0.8109,0.841,0.871,0.8999,0.9299,0.9575,0.9862,1.0097,1.0362,1.0605,1.0848,1.107,1.1335,1.1495,1.1661,1.1834,1.2043,1.2186,1.2233,1.2377,1.2386,1.2433,1.249,1.2571,1.2563,1.2593,1.2552,1.2615,1.2654,1.2622,1.2618,1.2624,1.2626,1.2625,1.2616,1.2623
growth.xlsx,LAB,E1-1 b KCl 25 mM (A09),TRUE,0.3001,0.3112,0.2919,0.3014,0.3177,0.3363,0.3514,0.3724,0.3927,0.4189,0.4438,0.4723,0.5011,0.5296,0.559,0.5886,0.6179,0.6481,0.6764,0.7064,0.7359,0.7639,0.7941,0.8232,0.8531,0.8849,0.9167,0.9484,0.9775,1.0112,1.0397,1.0717,1.0953,1.1212,1.1496,1.1676,1.1934,1.2051,1.2223,1.2376,1.2503,1.2624,1.2705,1.2778,1.295,1.2902,1.2824,1.2968,1.3047,1.3019,1.288,1.3,1.2992,1.2941,1.2899,1.2875,1.2915,1.3032,1.2909,1.3043
growth.xlsx,LAB,E1-1 b KCl 25 mM (A10),TRUE,0.2874,0.3061,0.2816,0.2985,0.3057,0.324,0.3444,0.3654,0.386,0.408,0.4359,0.4627,0.4909,0.5184,0.5483,0.58,0.6081,0.6399,0.6685,0.6974,0.7256,0.7546,0.7819,0.8118,0.841,0.8695,0.9012,0.9342,0.9692,1.006,1.0419,1.0734,1.094,1.118,1.1482,1.1716,1.1959,1.2176,1.2323,1.2385,1.2546,1.2747,1.2844,1.2936,1.3008,1.3072,1.3051,1.3099,1.3187,1.3211,1.3084,1.3231,1.3219,1.3177,1.3171,1.3169,1.3177,1.3174,1.3159,1.3154
growth.xlsx,LAB,E1-2 a KCl 25 mM (A11),TRUE,0.2737,0.2928,0.2732,0.2989,0.3093,0.327,0.3453,0.3641,0.3829,0.413,0.4403,0.4688,0.4973,0.5294,0.5599,0.5919,0.6249,0.6546,0.6841,0.7137,0.7454,0.7748,0.805,0.8357,0.8687,0.9025,0.9382,0.9708,1.0063,1.0403,1.0741,1.1067,1.1398,1.1706,1.2056,1.2263,1.2455,1.2481,1.2714,1.2895,1.2886,1.3131,1.3076,1.3266,1.3323,1.3247,1.3371,1.3366,1.3329,1.3418,1.3312,1.3373,1.337,1.3361,1.3344,1.3324,1.3323,1.3285,1.3295,1.3462
growth.xlsx,LAB,E1-2 a KCl 25 mM (A12),TRUE,0.2815,0.2995,0.2902,0.298,0.3141,0.3273,0.3455,0.3656,0.3874,0.417,0.4402,0.4707,0.5002,0.5316,0.5631,0.5944,0.624,0.6549,0.6859,0.7158,0.7456,0.7754,0.8037,0.8337,0.8618,0.8899,0.9201,0.9486,0.9771,1.0053,1.032,1.059,1.0862,1.1116,1.1394,1.1595,1.1835,1.1987,1.2167,1.23,1.2414,1.2517,1.2598,1.2665,1.2704,1.273,1.2753,1.2774,1.2788,1.2792,1.2798,1.28,1.2807,1.2814,1.2807,1.2803,1.2811,1.2808,1.28,1.2802
growth.xlsx,LAB,E1-2 b KCl 25 mM (B01),TRUE,0.3247,0.319,0.3164,0.3332,0.3532,0.3757,0.3994,0.4214,0.4491,0.4779,0.5086,0.5407,0.5721,0.6037,0.6379,0.6688,0.7001,0.7311,0.7626,0.7961,0.8256,0.8555,0.8851,0.9154,0.9446,0.9732,1.001,1.0302,1.0559,1.0817,1.1081,1.1339,1.1571,1.179,1.1974,1.2142,1.2288,1.2408,1.2524,1.2598,1.2654,1.2694,1.2732,1.2764,1.2777,1.2788,1.2801,1.2798,1.2799,1.2798,1.2796,1.2793,1.2787,1.2786,1.2781,1.2778,1.277,1.277,1.2764,1.2763
growth.xlsx,LAB,E1-2 b KCl 25 mM (B02),TRUE,0.3211,0.2917,0.3024,0.3211,0.3416,0.3628,0.3819,0.409,0.4364,0.4649,0.4954,0.5256,0.5564,0.5891,0.6243,0.6561,0.6896,0.7211,0.7537,0.7859,0.8179,0.8503,0.8814,0.9142,0.9464,0.9783,1.005,1.0332,1.0609,1.0885,1.1151,1.1412,1.1651,1.1876,1.2069,1.2228,1.2385,1.2513,1.2593,1.2681,1.2751,1.2802,1.2834,1.2861,1.2876,1.289,1.2895,1.2897,1.2901,1.2898,1.2901,1.2895,1.2894,1.2896,1.2886,1.288,1.2881,1.2874,1.2869,1.2863
growth.xlsx,LAB,E1-3 a KCl 25 mM (B03),TRUE,0.372,0.3294,0.3332,0.3684,0.388,0.4161,0.4342,0.4691,0.4974,0.5268,0.5603,0.5933,0.6265,0.6583,0.6909,0.7229,0.7559,0.7882,0.8228,0.8534,0.8851,0.9187,0.9521,0.9862,1.0196,1.0564,1.0835,1.1119,1.1388,1.1623,1.1855,1.2071,1.2246,1.2367,1.2514,1.2655,1.2742,1.2788,1.2812,1.2914,1.2932,1.2854,1.2882,1.2943,1.2899,1.2943,1.2963,1.2933,1.2964,1.283,1.2823,1.2955,1.2907,1.2919,1.2897,1.2888,1.2874,1.2801,1.289,1.2808
growth.xlsx,LAB,E1-3 a KCl 25 mM (B04),TRUE,0.3769,0.3432,0.3465,0.3584,0.3853,0.4221,0.4469,0.4686,0.4978,0.5304,0.5614,0.5926,0.6283,0.6594,0.6909,0.7254,0.7575,0.7886,0.8198,0.8496,0.8807,0.9116,0.944,0.9748,1.006,1.0354,1.0664,1.101,1.1309,1.1583,1.1809,1.2013,1.2175,1.2386,1.2519,1.2641,1.2681,1.2828,1.2889,1.2893,1.296,1.2927,1.3001,1.2982,1.2925,1.2959,1.2944,1.2989,1.2986,1.2974,1.2961,1.2905,1.2926,1.2886,1.2883,1.2908,1.2869,1.2914,1.2898,1.285
